"date","open","high","low","close","volume"
"2023-11-09","47.46699905395508","48.22999954223633","46.75","46.95000076293945","540496000"
"2023-11-10","47.5","48.47200012207031","47.28300094604492","48.334999084472656","421245000"
"2023-11-13","48.31999969482422","49.11600112915039","48.0989990234375","48.619998931884766","384136000"
"2023-11-14","49.68000030517578","49.83399963378906","49.040000915527344","49.65599822998047","416954000"
"2023-11-15","49.935001373291016","49.959999084472656","48.20000076293945","48.88800048828125","475497000"
"2023-11-16","48.67900085449219","49.525001525878906","48.33000183105469","49.47999954223633","339756000"
"2023-11-17","49.52399826049805","49.71699905395508","49.00699996948242","49.29800033569336","325205000"
"2023-11-20","49.3120002746582","50.54800033569336","49.180999755859375","50.409000396728516","414120000"
"2023-11-21","50.125999450683594","50.516998291015625","49.22200012207031","49.944000244140625","565747000"
"2023-11-22","49.85200119018555","50.334999084472656","47.689998626708984","48.715999603271484","899420000"
"2023-11-24","48.470001220703125","48.92100143432617","47.744998931884766","47.7760009765625","294645000"
"2023-11-27","47.79999923706055","48.529998779296875","47.652000427246094","48.242000579833984","395662000"
"2023-11-28","48.236000061035156","48.323001861572266","47.472999572753906","47.82099914550781","401491000"
"2023-11-29","48.37900161743164","48.762001037597656","47.86000061035156","48.13999938964844","382005000"
"2023-11-30","48.02399826049805","48.11000061035156","46.422000885009766","46.77000045776367","526247000"
"2023-12-01","46.525001525878906","47.20000076293945","46.1870002746582","46.76499938964844","369317000"
"2023-12-04","46.07699966430664","46.07699966430664","45.0099983215332","45.5099983215332","437543000"
"2023-12-05","45.465999603271484","46.599998474121094","45.270999908447266","46.566001892089844","371718000"
"2023-12-06","47.21500015258789","47.387001037597656","45.4119987487793","45.50299835205078","380590000"
"2023-12-07","45.70000076293945","46.62900161743164","45.604000091552734","46.59600067138672","350823000"
"2023-12-08","46.595001220703125","47.74100112915039","46.54999923706055","47.50600051879883","359224000"
"2023-12-11","47.49100112915039","47.53099822998047","45.83000183105469","46.62699890136719","509728000"
"2023-12-12","46.04600143432617","47.66600036621094","46.04600143432617","47.65700149536133","372387000"
"2023-12-13","47.62900161743164","48.59400177001953","47.608001708984375","48.0880012512207","447792000"
"2023-12-14","48.38999938964844","48.66999816894531","47.422000885009766","48.349998474121094","391232000"
"2023-12-15","48.194000244140625","49.40399932861328","48.119998931884766","48.88999938964844","479948000"
"2023-12-18","49.400001525878906","50.43299865722656","49.150001525878906","50.07699966430664","412587000"
"2023-12-19","49.42399978637695","49.70000076293945","48.89500045776367","49.604000091552734","464444000"
"2023-12-20","49.654998779296875","49.999000549316406","48.097999572753906","48.111000061035156","397894000"
"2023-12-21","48.81100082397461","49.095001220703125","48.41899871826172","48.9900016784668","300425000"
"2023-12-22","49.19499969482422","49.382999420166016","48.46699905395508","48.83000183105469","252507000"
"2023-12-26","48.96799850463867","49.599998474121094","48.959999084472656","49.27899932861328","244200000"
"2023-12-27","49.51100158691406","49.68000030517578","49.084999084472656","49.41699981689453","233648000"
"2023-12-28","49.643001556396484","49.88399887084961","49.4119987487793","49.52199935913086","246587000"
"2023-12-29","49.8129997253418","49.99700164794922","48.750999450683594","49.52199935913086","389293000"
"2024-01-02","49.24399948120117","49.29499816894531","47.595001220703125","48.167999267578125","411254000"
"2024-01-03","47.48500061035156","48.183998107910156","47.31999969482422","47.569000244140625","320896000"
"2024-01-04","47.766998291015625","48.5","47.507999420166016","47.99800109863281","306535000"
"2024-01-05","48.46200180053711","49.547000885009766","48.305999755859375","49.09700012207031","415039000"
"2024-01-08","49.512001037597656","52.275001525878906","49.479000091552734","52.25299835205078","642510000"
"2024-01-09","52.4010009765625","54.32500076293945","51.689998626708984","53.13999938964844","773100000"
"2024-01-10","53.61600112915039","54.599998474121094","53.48899841308594","54.349998474121094","533796000"
